Time	Price	Volume
20140804:10:00:00.236585	1223.34	82664
20140804:10:00:00.237667	1127.22	563554
20140804:10:00:00.239546	1286.87	689128
20140804:10:00:00.239889	1321.91	129909
20140804:10:00:00.242080	1269.08	287345
20140804:10:00:00.242169	1199.51	268027
20140804:10:00:00.242598	1337.58	222696
20140804:10:00:00.245440	1052.72	471433
20140804:10:00:00.247954	1256.91	462831
20140804:10:00:00.248978	1120.16	80010
20140804:10:00:00.249928	1298.8	62543
20140804:10:00:00.250217	1121.27	704767
20140804:10:00:00.250304	1261.16	451835
20140804:10:00:00.251951	1228.22	82507
20140804:10:00:00.252090	1631.74	349136
20140804:10:00:00.254011	1003.25	411964
20140804:10:00:00.254695	1334.71	558744
20140804:10:00:00.254818	1076.65	566189
20140804:10:00:00.254831	1575.35	685958
20140804:10:00:00.259180	1394.04	481582
20140804:10:00:00.259407	1137.6	369496
20140804:10:00:00.260006	1525.07	182639
20140804:10:00:00.260214	875.23	550005
20140804:10:00:00.260777	1287.3	210944
20140804:10:00:00.261356	1212.32	428000
20140804:10:00:00.262719	1204.1	95200
20140804:10:00:00.262884	979.72	544646
20140804:10:00:00.263179	1581.55	416276
20140804:10:00:00.263787	1393.01	108413
20140804:10:00:00.264874	1295.06	558322
20140804:10:00:00.268928	1262.66	722234
20140804:10:00:00.271548	1393.1	456047
20140804:10:00:00.271992	1311	656411
20140804:10:00:00.272638	1212.16	394631
20140804:10:00:00.273915	1448.72	269200
20140804:10:00:00.275690	1466.6	608840
20140804:10:00:00.275945	1313.19	627410
20140804:10:00:00.276548	1294.29	509898
20140804:10:00:00.276920	1081.93	628882
20140804:10:00:00.279345	1436.91	467672
20140804:10:00:00.282531	1428	343729
20140804:10:00:00.287594	1311.74	527014
20140804:10:00:00.287861	1668.88	76883
20140804:10:00:00.289326	1145	367723
20140804:10:00:00.289329	1490.33	141072
20140804:10:00:00.289932	1135.26	689716
20140804:10:00:00.291377	1054.89	555354
20140804:10:00:00.293162	1397.52	418058
20140804:10:00:00.294252	1467.1	482077
20140804:10:00:00.294734	1407.19	576096
20140804:10:00:00.295013	1303.03	722215
20140804:10:00:00.295510	1281.92	486466
20140804:10:00:00.297961	1925.45	54912
20140804:10:00:00.299866	1201.58	255863
20140804:10:00:00.301422	1251.13	483765
20140804:10:00:00.301499	1100	567667
20140804:10:00:00.301736	1022.71	438361
20140804:10:00:00.301921	1742.03	644998
20140804:10:00:00.303059	1440.81	722826
20140804:10:00:00.306368	1458.86	159675
20140804:10:00:00.306505	1568.17	69789
20140804:10:00:00.307645	1476.19	509219
20140804:10:00:00.307903	1220.82	561527
20140804:10:00:00.309210	1203.47	706264
20140804:10:00:00.309296	1206.32	531506
20140804:10:00:00.312014	1206.19	211624
20140804:10:00:00.316561	1331.63	690356
20140804:10:00:00.316587	1302.57	372040
20140804:10:00:00.317825	1489.09	721908
20140804:10:00:00.319748	1647.18	626646
20140804:10:00:00.320255	1081.96	263753
20140804:10:00:00.321465	1074.78	191771
20140804:10:00:00.321940	1913.68	509967
20140804:10:00:00.325580	1343.75	418608
20140804:10:00:00.326377	1773.27	219051
20140804:10:00:00.330356	1242.07	213519
20140804:10:00:00.330531	1275.57	421693
20140804:10:00:00.330704	1413.05	173644
20140804:10:00:00.331436	1137.58	290184
20140804:10:00:00.331771	1188.98	163092
20140804:10:00:00.332425	948.81	266318
20140804:10:00:00.333000	1230.68	696740
20140804:10:00:00.336852	1236.49	76966
20140804:10:00:00.337674	1967.59	243430
20140804:10:00:00.338562	1324.43	542803
20140804:10:00:00.340195	1044.65	731602
20140804:10:00:00.340441	1776.03	6343
20140804:10:00:00.340527	1551.71	160588
20140804:10:00:00.341574	1279.01	540059
20140804:10:00:00.343148	1040.57	688077
20140804:10:00:00.344950	1198.85	91435
20140804:10:00:00.346270	1517.71	146564
20140804:10:00:00.346711	1234.25	164369
20140804:10:00:00.347149	1265.29	270838
20140804:10:00:00.351070	913.2	281117
20140804:10:00:00.356066	1591.37	3032
20140804:10:00:00.356103	1739.32	93486
20140804:10:00:00.356392	1608.68	213694
20140804:10:00:00.356587	1488.36	555431
20140804:10:00:00.356768	1145.13	267036
20140804:10:00:00.356898	1601.32	106514
20140804:10:00:00.358535	1352.52	310197
20140804:10:00:00.360783	1439.06	623854
20140804:10:00:00.360835	1035.73	477718
20140804:10:00:00.364011	1226.19	489555
20140804:10:00:00.364531	1586.57	60762
20140804:10:00:00.367844	1039.86	322770
20140804:10:00:00.369218	1229.67	519653
20140804:10:00:00.369434	1158.44	1485
20140804:10:00:00.369841	1270.41	277335
20140804:10:00:00.373550	1149.73	427891
20140804:10:00:00.373601	1317.29	241805
20140804:10:00:00.374809	1306.69	518846
20140804:10:00:00.375540	1390.71	270519
20140804:10:00:00.376148	1443.41	686776
20140804:10:00:00.378229	1024.53	368850
20140804:10:00:00.378261	1416.54	725950
20140804:10:00:00.384000	1546.19	270966
20140804:10:00:00.384754	1598.95	590572
20140804:10:00:00.385026	1234.05	22772
20140804:10:00:00.386639	1585.31	63314
20140804:10:00:00.391029	1257.8	603885
20140804:10:00:00.392825	1144.25	676637
20140804:10:00:00.393016	1300.92	13855
20140804:10:00:00.393254	1744.8	259262
20140804:10:00:00.396679	1131.27	134380
20140804:10:00:00.396691	1280.04	484469
20140804:10:00:00.398688	1669.78	713783
20140804:10:00:00.398966	1409.51	529233
20140804:10:00:00.399782	1167.69	380659
20140804:10:00:00.400831	1408.95	368025
20140804:10:00:00.402819	1354.66	632983
20140804:10:00:00.403828	1217.23	208286
20140804:10:00:00.405304	1016.17	680707
20140804:10:00:00.406098	1449.59	332628
20140804:10:00:00.408509	1333.92	498511
20140804:10:00:00.408914	1351.6	300324
20140804:10:00:00.409598	1283.68	328762
20140804:10:00:00.409694	1589.39	479264
20140804:10:00:00.410045	1091.2	115963
20140804:10:00:00.410071	962.05	302586
20140804:10:00:00.411806	1417.99	647427
20140804:10:00:00.411931	1113.09	208654
20140804:10:00:00.413534	1565.41	183017
20140804:10:00:00.414324	1426.78	7912
20140804:10:00:00.416381	1061.88	193561
20140804:10:00:00.417250	1101.71	479017
20140804:10:00:00.420765	1373.67	688259
20140804:10:00:00.421109	973	228040
20140804:10:00:00.423568	1311.78	419811
20140804:10:00:00.424298	1643.78	14662
20140804:10:00:00.425742	1137.7	687939
20140804:10:00:00.426489	1073.59	185010
20140804:10:00:00.427492	1383.46	693146
20140804:10:00:00.429041	1020.47	176347
20140804:10:00:00.430760	1844.46	280670
20140804:10:00:00.431109	1157.77	353753
20140804:10:00:00.431311	1453.72	43962
20140804:10:00:00.432475	1472.93	424489
20140804:10:00:00.434734	1179.56	425008
20140804:10:00:00.435101	1278.39	117368
20140804:10:00:00.436669	1704.52	271404
20140804:10:00:00.437514	1232.61	226811
20140804:10:00:00.437760	1410.72	345072
20140804:10:00:00.439145	1706.56	514396
20140804:10:00:00.441951	1124.03	428573
20140804:10:00:00.443314	1026.09	204490
20140804:10:00:00.444734	908.18	69586
20140804:10:00:00.445999	1123.24	196373
20140804:10:00:00.446158	1145.76	465971
20140804:10:00:00.450550	1204.69	564458
20140804:10:00:00.459060	922.57	535936
20140804:10:00:00.460059	1472.13	737842
20140804:10:00:00.463826	1246.93	135731
20140804:10:00:00.464022	1466.29	123341
20140804:10:00:00.468763	1639.99	675969
20140804:10:00:00.468794	1072.68	75098
20140804:10:00:00.470795	1165.26	472670
20140804:10:00:00.470923	827.61	732375
20140804:10:00:00.471146	1321.39	227814
20140804:10:00:00.478900	1339.02	64110
20140804:10:00:00.482391	1615.6	166862
20140804:10:00:00.482407	1350.77	262418
20140804:10:00:00.483691	1369.14	432086
20140804:10:00:00.485552	1452.5	601506
20140804:10:00:00.485879	1165.43	123303
20140804:10:00:00.487405	1236.77	543636
20140804:10:00:00.497133	1185.83	447719
20140804:10:00:00.497519	977.65	324708
20140804:10:00:00.499014	1406.72	360334
20140804:10:00:00.501687	1033.39	211025
20140804:10:00:00.504091	1417.4	300978
20140804:10:00:00.505941	1109.33	345274
20140804:10:00:00.505998	1698.7	512442
20140804:10:00:00.507900	1545.03	289938
20140804:10:00:00.510090	1195.56	510475
20140804:10:00:00.510224	996.68	457545
20140804:10:00:00.516223	1602.68	732572
20140804:10:00:00.517996	1086.98	499017
20140804:10:00:00.518110	963.61	287571
20140804:10:00:00.519685	1143.6	63274
20140804:10:00:00.520812	1028.25	545069
20140804:10:00:00.521536	1221.01	687258
20140804:10:00:00.522368	1213.65	386520
20140804:10:00:00.522432	1368.78	658769
20140804:10:00:00.523912	1737.54	722727
20140804:10:00:00.526491	1369.39	52403
20140804:10:00:00.529809	1233.76	372046
20140804:10:00:00.531195	1736.34	143319
20140804:10:00:00.534653	1126.94	163677
20140804:10:00:00.535030	1321.49	314072
20140804:10:00:00.536637	1001.26	438910
20140804:10:00:00.541498	1335.7	553928
20140804:10:00:00.542147	1325.01	643595
20140804:10:00:00.546218	1372.35	575793
20140804:10:00:00.546981	1650.97	529838
20140804:10:00:00.547309	1225.7	176923
20140804:10:00:00.547809	1046.62	284255
20140804:10:00:00.548496	1206.48	70934
20140804:10:00:00.549453	1628.05	630249
20140804:10:00:00.554714	1333.05	622516
20140804:10:00:00.556385	1341.59	482216
20140804:10:00:00.557886	1154.22	57994
20140804:10:00:00.560000	1374.7	384057
20140804:10:00:00.561498	1652.2	260246
20140804:10:00:00.561590	1274.22	404770
20140804:10:00:00.562355	1307.8	417237
20140804:10:00:00.562734	1241.99	453960
20140804:10:00:00.565610	1314.86	306700
20140804:10:00:00.565816	1471.77	400653
20140804:10:00:00.566796	1389.73	466013
20140804:10:00:00.567025	1007.75	110244
20140804:10:00:00.567143	1284.42	298969
20140804:10:00:00.570279	1325.61	668467
20140804:10:00:00.571127	1488.17	450209
20140804:10:00:00.572159	1107.5	273003
20140804:10:00:00.573189	1196.4	299522
20140804:10:00:00.573569	1257.65	247384
20140804:10:00:00.574234	1378.98	61246
20140804:10:00:00.574914	1173.56	471577
20140804:10:00:00.575026	1614.38	614832
20140804:10:00:00.576370	1267.86	447644
20140804:10:00:00.577290	1558.83	548555
20140804:10:00:00.579048	1341.15	594938
20140804:10:00:00.579160	1259.06	429639
20140804:10:00:00.579858	1415.27	322572
20140804:10:00:00.580274	1195.99	367447
20140804:10:00:00.581112	1324.33	464755
20140804:10:00:00.581956	1151.42	370751
20140804:10:00:00.582237	1397.56	453423
20140804:10:00:00.582802	1123.99	500406
20140804:10:00:00.584202	936.25	726374
20140804:10:00:00.587115	881.08	130360
20140804:10:00:00.587215	1333.72	308320
20140804:10:00:00.587617	1032.52	572716
20140804:10:00:00.589064	1216.59	372398
20140804:10:00:00.589451	1103.11	91114
20140804:10:00:00.590704	1152.16	623216
20140804:10:00:00.590781	1257.2	653475
20140804:10:00:00.591824	1321.15	362116
20140804:10:00:00.593091	1310.94	120519
20140804:10:00:00.593443	1377.42	186463
20140804:10:00:00.594311	1178.55	372906
20140804:10:00:00.594429	1699.84	37473
20140804:10:00:00.595463	1117.63	385378
20140804:10:00:00.599688	1734.18	59206
20140804:10:00:00.602340	1234.3	74056
20140804:10:00:00.603519	1587.62	558022
20140804:10:00:00.603914	1240.53	417996
20140804:10:00:00.605515	1183.59	544028
20140804:10:00:00.608736	1233.66	660531
20140804:10:00:00.608783	1297.6	364541
20140804:10:00:00.612042	1748.29	452405
20140804:10:00:00.613538	1284	212010
20140804:10:00:00.613730	1684.54	51677
20140804:10:00:00.613750	1156.36	58928
20140804:10:00:00.614894	1203.78	656927
20140804:10:00:00.615478	1353.86	117893
20140804:10:00:00.617429	924.43	209204
20140804:10:00:00.618387	1090.12	477438
20140804:10:00:00.618510	1058.91	302014
20140804:10:00:00.618620	1261.47	47959
20140804:10:00:00.621353	1145.57	499977
20140804:10:00:00.622315	1392.62	6917
20140804:10:00:00.623027	1467.53	528511
20140804:10:00:00.625345	2001.92	72006
20140804:10:00:00.625649	1472.92	633540
20140804:10:00:00.628376	1534.75	293583
20140804:10:00:00.628432	1193.57	139810
20140804:10:00:00.629559	1075.39	325702
20140804:10:00:00.631617	1354.67	360473
20140804:10:00:00.632300	1472.95	332295
20140804:10:00:00.633010	1531.29	106772
20140804:10:00:00.634834	1056.28	636723
20140804:10:00:00.636329	1626.27	371578
20140804:10:00:00.637244	1670	229592
20140804:10:00:00.642205	1445.83	664307
20140804:10:00:00.643448	1235.93	312924
20140804:10:00:00.644484	1585.23	507746
20140804:10:00:00.644863	1434.3	524796
20140804:10:00:00.645400	1382.93	271543
20140804:10:00:00.645640	1882.62	315136
20140804:10:00:00.647198	1556.08	361714
20140804:10:00:00.647207	1268.12	126307
20140804:10:00:00.647942	1625.15	736731
20140804:10:00:00.655675	1663	421442
20140804:10:00:00.659320	1917.73	736618
20140804:10:00:00.660484	1059.5	437264
20140804:10:00:00.662739	1124.2	711473
20140804:10:00:00.667513	1199.46	457248
20140804:10:00:00.668813	1614.29	481260
20140804:10:00:00.675219	1265.4	366956
20140804:10:00:00.675464	1421.92	201792
20140804:10:00:00.676291	863.39	698723
20140804:10:00:00.676434	1784.13	679245
20140804:10:00:00.679031	1164.94	324015
20140804:10:00:00.679785	1506.77	466252
20140804:10:00:00.682076	1410.85	479021
20140804:10:00:00.683329	1016.51	682228
20140804:10:00:00.687406	1039.01	392157
20140804:10:00:00.688944	1620.79	67210
20140804:10:00:00.690092	1539.14	462230
20140804:10:00:00.690510	1114.68	239961
20140804:10:00:00.691446	1217.38	462418
20140804:10:00:00.692717	1291.23	681423
20140804:10:00:00.692748	1565.41	265505
20140804:10:00:00.692934	1348.08	416737
20140804:10:00:00.693172	1455.07	141950
20140804:10:00:00.693978	1018.67	84736
20140804:10:00:00.694923	1396.58	668440
20140804:10:00:00.697556	1217.79	50559
20140804:10:00:00.698652	1325.24	489219
20140804:10:00:00.702249	1525.96	73399
20140804:10:00:00.703842	1669.41	188618
20140804:10:00:00.704129	1280.54	717629
20140804:10:00:00.705131	1339.04	250671
20140804:10:00:00.705809	1149.11	42760
20140804:10:00:00.707317	928.62	603314
20140804:10:00:00.707812	1334.1	475345
20140804:10:00:00.707935	1136.46	670828
20140804:10:00:00.708555	1375.15	614965
20140804:10:00:00.710239	1507.64	349819
20140804:10:00:00.710253	1734.18	555251
20140804:10:00:00.713417	1441.74	83530
20140804:10:00:00.713717	1348.62	29399
20140804:10:00:00.715425	1345.83	495563
20140804:10:00:00.715490	1105.12	538682
20140804:10:00:00.717187	1130.71	413020
20140804:10:00:00.717291	1960.27	569214
20140804:10:00:00.717460	1343.37	564978
20140804:10:00:00.718293	1251.96	198655
20140804:10:00:00.719196	995.25	240704
20140804:10:00:00.719257	1567.42	395899
20140804:10:00:00.720237	1464.62	202204
20140804:10:00:00.721097	1756.06	317923
20140804:10:00:00.724707	1303.6	615011
20140804:10:00:00.726820	1479.81	691684
20140804:10:00:00.729710	1514.56	678472
20140804:10:00:00.731914	1286.12	665538
20140804:10:00:00.732030	1219.28	355062
20140804:10:00:00.732733	1277.61	726566
20140804:10:00:00.732743	1357.15	249936
20140804:10:00:00.733341	1473.33	180661
20140804:10:00:00.734086	1359.84	213803
20140804:10:00:00.734797	1057.02	506783
20140804:10:00:00.735277	1107.79	299496
20140804:10:00:00.736166	1331.1	629321
20140804:10:00:00.736596	1664.24	210845
20140804:10:00:00.737513	1152.88	361724
20140804:10:00:00.737927	1621.86	405836
20140804:10:00:00.741421	1231.71	600390
20140804:10:00:00.742358	1454.61	498330
20140804:10:00:00.742538	1036.25	699488
20140804:10:00:00.743005	1412.5	540851
20140804:10:00:00.744355	1486.76	10333
20140804:10:00:00.747882	1191.79	512450
20140804:10:00:00.750188	1142.73	363510
20140804:10:00:00.750845	1193.25	573098
20140804:10:00:00.753239	1261.3	236613
20140804:10:00:00.753481	1061.37	211333
20140804:10:00:00.754836	1113.95	61587
20140804:10:00:00.763541	1049.61	657567
20140804:10:00:00.764492	1457.57	391232
20140804:10:00:00.765907	1202.12	74074
20140804:10:00:00.768969	1405.8	518150
20140804:10:00:00.772074	1089.05	355682
20140804:10:00:00.772623	1410.64	223965
20140804:10:00:00.773238	1422.56	282882
20140804:10:00:00.777354	1008.34	290462
20140804:10:00:00.777936	1522.51	703319
20140804:10:00:00.778015	1093.79	107768
20140804:10:00:00.780906	1138.94	552224
20140804:10:00:00.782407	947.64	440703
20140804:10:00:00.782664	1168.72	264102
20140804:10:00:00.784627	1289.06	53871
20140804:10:00:00.786470	1077.95	307709
20140804:10:00:00.789728	1421.36	193456
20140804:10:00:00.789762	1800.93	469170
20140804:10:00:00.790610	1075.5	401656
20140804:10:00:00.792144	1366.52	471175
20140804:10:00:00.793431	1105.03	532479
20140804:10:00:00.796460	1395.89	77644
20140804:10:00:00.796481	1064.22	174434
20140804:10:00:00.797591	1037.41	109821
20140804:10:00:00.799340	1043.19	53629
20140804:10:00:00.800823	1952.1	671509
20140804:10:00:00.800852	1205.39	73486
20140804:10:00:00.801416	1400.64	473033
20140804:10:00:00.801994	2166.94	472804
20140804:10:00:00.802249	1223.27	159275
20140804:10:00:00.804525	1323.08	57922
20140804:10:00:00.807049	1313.83	548999
20140804:10:00:00.807543	1311.81	339784
20140804:10:00:00.812780	1152.56	516675
20140804:10:00:00.815231	1313.65	734661
20140804:10:00:00.820779	1694.26	455895
20140804:10:00:00.821773	1128.1	244763
20140804:10:00:00.821783	1468.41	549795
20140804:10:00:00.825047	1041.57	559634
20140804:10:00:00.826615	1129.2	489685
20140804:10:00:00.826694	1256.96	462359
20140804:10:00:00.827845	1245.46	450195
20140804:10:00:00.829410	1068.65	442795
20140804:10:00:00.835698	1028.53	362901
20140804:10:00:00.837403	1139.29	206388
20140804:10:00:00.837853	924.95	607643
20140804:10:00:00.841695	1325.97	236047
20140804:10:00:00.842593	1554.23	427704
20140804:10:00:00.845209	1325.81	359575
20140804:10:00:00.846585	1193.62	107522
20140804:10:00:00.847762	1121.49	445593
20140804:10:00:00.848701	1010.71	254288
20140804:10:00:00.849990	1327.02	327394
20140804:10:00:00.853013	1234.13	671721
20140804:10:00:00.856162	1168.93	414969
20140804:10:00:00.856351	1808.56	714170
20140804:10:00:00.856412	1369.36	8144
20140804:10:00:00.858954	1572.53	163133
20140804:10:00:00.859606	1178.25	438653
20140804:10:00:00.860105	1551.01	526308
20140804:10:00:00.860435	1290.96	649447
20140804:10:00:00.862058	990.69	249260
20140804:10:00:00.862465	1340.73	624319
20140804:10:00:00.862826	1607.59	454356
20140804:10:00:00.864078	1897.72	150100
20140804:10:00:00.864079	1203.91	271371
20140804:10:00:00.865331	1173.45	742091
20140804:10:00:00.866869	1404.11	217234
20140804:10:00:00.869323	1201.05	507115
20140804:10:00:00.869335	1293.1	638519
20140804:10:00:00.870284	1829.39	689795
20140804:10:00:00.870994	1341.29	340421
20140804:10:00:00.871996	1313.96	193593
20140804:10:00:00.872381	1133.96	126659
20140804:10:00:00.873511	1508.25	608977
20140804:10:00:00.873988	1332.82	261310
20140804:10:00:00.874694	1372.71	443007
20140804:10:00:00.875250	1308.9	581566
20140804:10:00:00.876636	1474.33	72468
20140804:10:00:00.876862	1710.94	745236
20140804:10:00:00.878603	1537.89	353072
20140804:10:00:00.880404	1511.67	262338
20140804:10:00:00.882958	1202.45	584802
20140804:10:00:00.884270	1395.12	546316
20140804:10:00:00.884979	1368.67	382498
20140804:10:00:00.886245	999.06	342535
20140804:10:00:00.886467	1408.6	324083
20140804:10:00:00.887361	1386.82	638634
20140804:10:00:00.888083	1372.96	3555
20140804:10:00:00.888203	1724.89	108021
20140804:10:00:00.890922	1285.05	102163
20140804:10:00:00.891776	1149.92	706245
20140804:10:00:00.898688	1251.6	445361
20140804:10:00:00.901058	1348.12	464663
20140804:10:00:00.901105	1264.52	747388
20140804:10:00:00.901312	1140.8	504944
20140804:10:00:00.902843	1139.75	70477
20140804:10:00:00.904391	1164.77	279744
20140804:10:00:00.905265	1362.49	501971
20140804:10:00:00.905515	1353.06	330247
20140804:10:00:00.906057	1522.27	244788
20140804:10:00:00.906126	1316.89	560228
20140804:10:00:00.907088	1072.45	10217
20140804:10:00:00.907335	1229.6	172168
20140804:10:00:00.907695	1268.16	247457
20140804:10:00:00.911710	1257.01	49723
20140804:10:00:00.912432	1523.69	159573
20140804:10:00:00.914896	1584.62	722737
20140804:10:00:00.916330	1381.35	724501
20140804:10:00:00.916489	1037.53	60338
20140804:10:00:00.916968	1331.13	34910
20140804:10:00:00.917201	1237.36	151251
20140804:10:00:00.920662	1105.26	556430
20140804:10:00:00.922500	1608.95	53946
